timestamp,temperature,humidity,PM2.5,PM10,NO2,SO2,CO,AQI
2026-01-02 05:00:00,17.5,84.0,64.0,119.8,12.4,7.0,0.49,154
2026-01-02 06:00:00,19.6,83.0,11.9,35.6,16.2,8.0,0.47,49
2026-01-02 07:00:00,21.4,82.0,12.1,66.0,12.7,6.9,0.55,56
2026-01-02 08:00:00,24.3,76.0,29.6,101.8,23.6,3.4,0.9,86
2026-01-02 09:00:00,26.9,77.0,93.8,167.7,27.6,5.2,1.05,170
2026-01-02 10:00:00,27.7,67.0,159.6,232.0,27.1,6.4,0.9,211
2026-01-02 11:00:00,30.1,61.0,47.7,94.7,12.9,4.9,0.62,129
2026-01-02 12:00:00,29.5,66.0,15.3,74.9,15.0,6.4,0.55,59
2026-01-02 13:00:00,34.1,48.0,80.4,124.8,14.6,4.9,0.61,162
2026-01-02 14:00:00,33.6,67.0,74.5,153.6,12.9,5.3,0.66,161
2026-01-02 15:00:00,33.2,71.0,48.5,88.9,16.3,5.4,0.76,131
2026-01-02 16:00:00,31.6,59.0,18.3,36.4,11.0,3.3,0.61,65
2026-01-02 17:00:00,33.5,63.0,36.9,123.6,31.4,4.7,1.02,106
2026-01-02 18:00:00,30.6,70.0,33.1,109.7,28.9,6.7,1.18,94
2026-01-02 19:00:00,26.8,62.0,113.6,194.4,29.7,4.5,1.28,181
2026-01-02 20:00:00,29.0,66.0,114.8,158.2,29.3,6.7,1.23,181
2026-01-02 21:00:00,24.6,64.0,12.8,75.5,12.0,5.3,0.49,58
2026-01-02 22:00:00,,78.0,9.3,24.2,9.8,5.1,0.35,36
2026-01-02 23:00:00,21.9,80.0,12.4,53.6,10.9,6.8,0.47,49
2026-01-03 00:00:00,18.7,75.0,42.1,114.5,13.5,8.5,0.49,115
2026-01-03 01:00:00,19.1,78.0,12.8,52.0,16.7,7.4,0.58,53
2026-01-03 02:00:00,22.1,82.0,18.3,32.5,8.5,7.4,0.53,61
2026-01-03 03:00:00,16.2,81.0,66.9,139.5,13.4,9.1,0.54,155
2026-01-03 04:00:00,19.7,83.0,13.9,32.4,12.1,5.7,0.61,55
2026-01-03 05:00:00,18.4,80.0,14.2,26.0,12.2,6.7,0.54,53
2026-01-03 06:00:00,19.9,79.0,15.3,79.8,13.2,6.9,0.49,64
2026-01-03 07:00:00,21.5,87.0,18.6,70.0,11.9,5.8,0.41,65
2026-01-03 08:00:00,23.5,70.0,8.6,26.1,10.3,5.1,0.36,34
2026-01-03 09:00:00,26.3,76.0,27.7,52.9,11.0,5.0,0.42,82
2026-01-03 10:00:00,27.4,68.0,58.3,124.7,17.2,4.9,0.65,153
2026-01-03 11:00:00,30.8,52.0,95.2,171.9,12.9,4.2,0.53,170
2026-01-03 12:00:00,30.9,72.0,18.5,46.7,18.6,4.3,0.7,64
2026-01-03 13:00:00,33.0,56.0,57.8,121.8,17.4,5.4,0.64,150
2026-01-03 14:00:00,34.2,54.0,22.6,86.7,17.8,6.5,0.64,72
2026-01-03 15:00:00,32.4,66.0,28.2,82.5,8.3,4.0,0.25,87
2026-01-03 16:00:00,33.9,58.0,10.6,46.1,15.1,7.0,0.44,44
2026-01-03 17:00:00,32.8,62.0,24.4,51.9,7.8,5.1,0.4,79
2026-01-03 18:00:00,28.3,75.0,24.2,35.9,18.2,6.1,0.59,75
2026-01-03 19:00:00,30.2,71.0,20.5,37.3,18.9,4.9,0.56,68
2026-01-03 20:00:00,27.0,72.0,67.8,150.2,20.4,4.4,0.76,157
2026-01-03 21:00:00,25.5,68.0,69.6,127.8,18.3,4.7,0.77,156
2026-01-03 22:00:00,22.1,77.0,29.4,54.5,4.5,4.0,0.41,500
2026-01-03 23:00:00,20.9,77.0,15.6,58.2,15.3,8.9,0.59,55
2026-01-04 00:00:00,18.8,84.0,41.7,75.7,12.9,7.8,0.56,119
2026-01-04 01:00:00,16.8,81.0,66.1,85.0,14.1,6.3,0.61,155
2026-01-04 02:00:00,16.7,90.0,17.7,36.0,9.9,8.8,0.36,59
2026-01-04 03:00:00,16.4,90.0,42.2,63.0,14.0,5.9,0.43,119
2026-01-04 04:00:00,17.8,82.0,65.7,87.8,13.6,6.0,0.58,160
2026-01-04 05:00:00,19.4,78.0,15.6,32.3,13.9,8.6,0.67,60
2026-01-04 06:00:00,16.9,78.0,41.7,88.8,13.8,6.1,0.47,118
2026-01-04 07:00:00,19.9,83.0,12.3,58.8,11.7,8.3,0.49,53
2026-01-04 08:00:00,27.0,69.0,9.7,19.5,10.3,7.2,0.39,36
2026-01-04 09:00:00,24.7,75.0,27.1,50.4,8.3,5.0,0.39,84
2026-01-04 10:00:00,27.6,61.0,96.2,192.2,18.2,4.7,0.73,168
2026-01-04 11:00:00,29.2,70.0,19.1,66.1,16.9,5.9,0.68,66
2026-01-04 12:00:00,32.4,58.0,17.0,25.9,18.0,4.2,0.78,60
2026-01-04 13:00:00,32.4,63.0,56.1,97.7,17.5,6.1,0.69,153
2026-01-04 14:00:00,32.3,68.0,20.9,99.8,17.6,3.5,0.54,71
2026-01-04 15:00:00,34.5,56.0,9.0,20.9,9.7,5.4,0.52,36
2026-01-04 16:00:00,34.5,57.0,47.3,90.7,8.5,6.4,0.52,126
2026-01-04 17:00:00,32.3,58.0,9.3,59.5,12.6,4.6,0.33,53
2026-01-04 18:00:00,30.1,68.0,28.8,67.2,21.3,4.8,0.82,87
2026-01-04 19:00:00,30.9,59.0,22.0,40.3,19.3,7.0,0.73,72
2026-01-04 20:00:00,27.4,74.0,24.5,49.4,20.1,3.6,0.81,77
2026-01-04 21:00:00,25.8,75.0,113.3,233.5,21.5,6.4,0.89,182
2026-01-04 22:00:00,23.0,76.0,9.2,65.3,10.8,5.0,0.39,57
2026-01-04 23:00:00,19.1,81.0,14.7,57.4,12.8,7.8,0.56,60
2026-01-05 00:00:00,19.5,82.0,36.3,53.7,12.8,7.2,0.49,99
2026-01-05 01:00:00,19.9,77.0,57.2,166.0,10.9,8.0,0.61,151
2026-01-05 02:00:00,16.8,94.0,11.1,65.7,11.6,8.7,0.58,55
2026-01-05 03:00:00,15.6,86.0,37.3,62.0,11.9,7.8,0.46,105
2026-01-05 04:00:00,15.7,93.0,58.0,106.1,11.9,8.3,0.54,152
2026-01-05 05:00:00,19.3,76.0,13.5,80.2,11.8,9.0,0.43,66
2026-01-05 06:00:00,19.6,73.0,10.8,62.9,13.1,7.3,0.48,54
2026-01-05 07:00:00,20.3,91.0,12.1,60.3,10.1,7.6,0.48,497
2026-01-05 08:00:00,25.5,76.0,93.2,123.7,25.1,5.0,0.94,170
2026-01-05 09:00:00,23.8,79.0,29.8,43.4,27.8,6.1,1.0,86
2026-01-05 10:00:00,28.5,69.0,93.6,166.2,27.2,5.3,1.08,170
2026-01-05 11:00:00,31.3,65.0,53.9,70.5,13.3,4.7,0.56,146
2026-01-05 12:00:00,31.8,59.0,57.9,118.8,14.4,4.1,0.63,150
2026-01-05 13:00:00,32.6,66.0,47.5,112.5,12.1,3.7,0.6,133
2026-01-05 14:00:00,35.6,54.0,13.9,56.1,13.5,5.7,0.48,57
2026-01-05 15:00:00,34.6,60.0,75.4,107.4,14.5,6.4,0.63,160
2026-01-05 16:00:00,34.3,44.0,14.3,36.5,15.2,6.0,0.48,58
2026-01-05 17:00:00,31.3,55.0,32.8,55.5,31.0,4.7,1.04,94
2026-01-05 18:00:00,33.3,64.0,35.1,72.8,31.4,5.6,1.26,98
2026-01-05 19:00:00,30.0,63.0,32.4,71.3,30.5,5.1,1.17,90
2026-01-05 20:00:00,28.8,68.0,30.7,76.8,34.9,4.3,1.21,90
2026-01-05 21:00:00,24.4,78.0,9.0,54.7,9.3,5.6,0.55,499
2026-01-05 22:00:00,23.6,79.0,9.7,50.9,9.9,4.1,0.49,45
2026-01-05 23:00:00,21.9,,35.6,88.5,11.5,8.6,0.58,98
2026-01-06 00:00:00,20.7,82.0,39.0,64.3,11.5,6.3,0.35,108
2026-01-06 01:00:00,20.8,71.0,12.4,22.6,15.3,8.6,0.42,56
2026-01-06 02:00:00,19.2,79.0,35.2,60.2,12.0,9.0,0.33,104
2026-01-06 03:00:00,18.5,85.0,37.1,107.3,13.5,7.9,0.49,104
2026-01-06 04:00:00,16.6,83.0,11.6,28.5,10.0,5.7,0.51,51
2026-01-06 05:00:00,19.7,77.0,10.8,23.5,12.2,6.3,0.43,45
2026-01-06 06:00:00,17.4,86.0,60.3,88.6,11.8,8.1,0.49,155
2026-01-06 07:00:00,22.0,75.0,13.7,53.0,9.5,6.9,0.42,55
2026-01-06 08:00:00,22.9,81.0,94.9,159.7,23.4,5.7,0.94,170
2026-01-06 09:00:00,26.1,76.0,98.6,148.8,24.8,7.8,0.94,176
2026-01-06 10:00:00,30.0,62.0,95.1,160.6,23.9,4.1,0.94,169
2026-01-06 11:00:00,29.2,62.0,76.5,124.0,15.3,6.0,0.42,162
2026-01-06 12:00:00,33.0,54.0,77.9,157.6,18.5,5.3,0.53,161
2026-01-06 13:00:00,33.3,55.0,16.1,67.2,16.8,5.8,0.5,59
2026-01-06 14:00:00,35.0,58.0,46.5,103.8,15.1,5.7,0.63,125
2026-01-06 15:00:00,32.1,58.0,76.1,120.0,12.4,3.0,0.62,166
2026-01-06 16:00:00,33.2,64.0,75.8,156.2,15.5,4.8,0.68,163
2026-01-06 17:00:00,33.3,57.0,32.9,59.2,29.1,5.2,1.25,95
2026-01-06 18:00:00,31.1,67.0,111.5,174.0,30.1,4.8,1.08,181
2026-01-06 19:00:00,29.6,56.0,111.5,152.9,26.6,5.8,1.28,182
2026-01-06 20:00:00,27.2,76.0,32.4,49.5,28.2,5.5,1.11,94
2026-01-06 21:00:00,24.4,65.0,24.5,49.7,6.3,5.0,0.27,73
2026-01-06 22:00:00,24.2,77.0,22.4,40.2,8.7,6.1,0.3,73
2026-01-06 23:00:00,19.8,75.0,35.9,73.8,11.9,6.7,0.44,100
2026-01-07 00:00:00,19.6,89.0,11.6,66.9,7.4,8.7,0.39,53
2026-01-07 01:00:00,18.0,82.0,38.0,102.8,14.6,9.2,0.48,105
2026-01-07 02:00:00,18.5,78.0,35.6,62.0,12.2,6.8,0.58,99
2026-01-07 03:00:00,15.5,90.0,15.5,25.5,14.4,8.3,0.56,56
2026-01-07 04:00:00,15.7,93.0,13.4,67.3,10.1,7.0,0.48,59
2026-01-07 05:00:00,21.3,81.0,37.2,57.1,,5.6,0.64,102
2026-01-07 06:00:00,19.5,79.0,55.1,144.2,13.8,8.4,0.41,151
2026-01-07 07:00:00,21.3,82.0,37.5,63.4,12.8,6.9,0.44,107
2026-01-07 08:00:00,25.3,72.0,101.2,153.3,27.2,7.0,1.05,175
2026-01-07 09:00:00,26.9,66.0,29.4,41.9,24.6,4.3,0.95,88
2026-01-07 10:00:00,30.1,66.0,93.6,190.3,22.8,3.8,0.91,170
2026-01-07 11:00:00,28.3,63.0,45.1,126.0,11.8,3.4,0.46,127
2026-01-07 12:00:00,30.4,77.0,47.9,88.5,13.2,6.8,0.66,130
2026-01-07 13:00:00,33.7,59.0,19.1,30.1,16.0,6.2,0.59,68
2026-01-07 14:00:00,31.6,61.0,14.7,30.0,14.3,5.4,0.63,60
2026-01-07 15:00:00,31.9,60.0,16.5,75.2,18.4,6.7,0.54,58
2026-01-07 16:00:00,33.5,50.0,18.3,75.8,14.2,5.0,0.7,61
2026-01-07 17:00:00,32.4,62.0,32.7,65.5,27.8,5.7,1.08,94
2026-01-07 18:00:00,32.4,67.0,183.0,326.8,27.2,4.4,1.09,232
2026-01-07 19:00:00,31.9,59.0,33.3,100.3,24.2,6.1,1.22,94
2026-01-07 20:00:00,27.7,71.0,184.3,309.9,27.8,4.1,1.21,231
2026-01-07 21:00:00,29.2,66.0,10.0,17.5,7.5,4.4,0.38,43
2026-01-07 22:00:00,22.0,77.0,34.0,92.4,9.3,5.1,0.29,94
2026-01-07 23:00:00,21.5,75.0,18.4,64.3,12.0,6.9,0.47,66
2026-01-08 00:00:00,19.0,77.0,15.5,34.5,10.5,7.2,0.52,58
2026-01-08 01:00:00,18.6,81.0,55.8,98.1,12.6,6.8,0.45,153
2026-01-08 02:00:00,18.0,75.0,13.6,57.8,14.7,8.4,0.46,51
2026-01-08 03:00:00,17.8,88.0,14.2,78.0,11.3,7.2,0.4,62
2026-01-08 04:00:00,21.0,73.0,13.2,37.2,12.5,7.9,0.48,55
2026-01-08 05:00:00,20.8,72.0,12.4,33.7,13.2,7.9,0.5,51
2026-01-08 06:00:00,20.5,77.0,61.7,100.8,12.7,7.4,0.58,153
2026-01-08 07:00:00,18.2,80.0,15.1,66.4,11.5,7.2,0.45,55
2026-01-08 08:00:00,26.0,69.0,92.4,188.8,27.5,5.2,1.01,170
2026-01-08 09:00:00,24.4,79.0,26.9,52.0,26.2,4.7,1.07,79
2026-01-08 10:00:00,27.9,77.0,30.8,113.6,22.4,5.9,1.05,87
2026-01-08 11:00:00,30.9,65.0,49.0,76.5,16.8,5.1,0.41,135
2026-01-08 12:00:00,30.5,63.0,47.3,118.3,15.4,5.4,0.61,131
2026-01-08 13:00:00,31.8,65.0,15.4,63.6,14.2,4.9,0.58,57
2026-01-08 14:00:00,,50.0,18.3,35.1,12.9,5.6,0.66,65
2026-01-08 15:00:00,34.0,62.0,15.0,58.1,14.7,6.4,0.51,57
2026-01-08 16:00:00,34.8,60.0,77.8,120.1,20.0,6.7,0.56,164
2026-01-08 17:00:00,32.9,71.0,110.9,211.6,29.2,3.6,1.14,178
2026-01-08 18:00:00,34.6,57.0,188.1,310.9,30.2,5.1,1.15,237
2026-01-08 19:00:00,26.3,69.0,,75.3,29.2,3.7,1.14,88
2026-01-08 20:00:00,28.2,74.0,113.2,152.9,28.6,4.3,1.18,181
2026-01-08 21:00:00,22.4,76.0,24.9,97.8,7.6,3.7,0.22,74
2026-01-08 22:00:00,24.0,76.0,24.5,103.7,7.9,5.3,0.31,75
2026-01-08 23:00:00,22.2,72.0,10.3,19.7,11.7,7.7,0.46,41
2026-01-09 00:00:00,20.3,81.0,38.7,63.4,8.5,7.8,0.54,109
2026-01-09 01:00:00,19.7,80.0,11.7,19.3,11.7,5.7,0.44,49
2026-01-09 02:00:00,18.2,77.0,14.7,75.9,14.6,9.4,0.42,59
2026-01-09 03:00:00,16.0,84.0,39.5,117.7,11.7,8.4,0.54,107
2026-01-09 04:00:00,19.9,71.0,34.5,56.2,15.0,6.6,0.45,98
2026-01-09 05:00:00,18.5,75.0,15.7,33.2,13.9,9.2,0.38,57
2026-01-09 06:00:00,20.0,81.0,35.9,56.6,9.7,7.5,0.51,99
2026-01-09 07:00:00,21.1,69.0,56.4,104.7,13.4,7.3,0.57,151
2026-01-09 08:00:00,23.5,,29.5,50.8,20.9,6.8,1.02,87
2026-01-09 09:00:00,27.5,63.0,27.2,41.5,21.0,5.9,0.91,83
2026-01-09 10:00:00,30.9,59.0,29.0,75.9,26.8,4.8,0.9,86
2026-01-09 11:00:00,28.9,59.0,76.9,183.6,16.8,5.3,0.61,161
2026-01-09 12:00:00,31.8,60.0,15.8,88.3,12.3,5.5,0.67,64
2026-01-09 13:00:00,31.4,66.0,14.9,36.0,16.7,5.4,0.58,57
2026-01-09 14:00:00,34.2,61.0,50.3,118.7,14.2,5.1,0.66,142
2026-01-09 15:00:00,34.0,68.0,47.3,99.9,12.7,3.8,0.53,131
2026-01-09 16:00:00,34.9,60.0,17.0,33.4,16.0,5.9,0.68,62
2026-01-09 17:00:00,33.3,56.0,33.7,52.4,27.6,5.1,1.1,95
2026-01-09 18:00:00,28.5,68.0,36.8,85.8,29.0,5.0,1.1,102
2026-01-09 19:00:00,28.6,71.0,183.5,331.3,28.5,3.2,1.21,231
2026-01-09 20:00:00,27.9,69.0,32.0,104.0,29.7,7.4,1.06,91
2026-01-09 21:00:00,26.0,65.0,24.1,90.7,11.1,8.0,0.39,74
2026-01-09 22:00:00,23.6,65.0,9.9,19.6,7.1,4.6,0.36,42
2026-01-09 23:00:00,20.2,75.0,15.4,31.3,11.0,8.5,0.5,58
2026-01-10 00:00:00,21.4,77.0,14.4,33.7,17.4,8.1,0.47,56
2026-01-10 01:00:00,18.9,76.0,16.9,73.5,13.1,7.1,0.54,62
2026-01-10 02:00:00,15.9,74.0,12.6,24.2,10.6,8.8,0.51,51
2026-01-10 03:00:00,18.5,80.0,73.4,124.9,10.3,8.4,0.57,158
2026-01-10 04:00:00,16.7,90.0,46.1,86.6,11.9,6.7,0.42,123
2026-01-10 05:00:00,19.0,73.0,12.9,23.6,8.3,7.4,0.73,54
2026-01-10 06:00:00,20.1,78.0,73.0,130.8,13.8,7.7,0.66,159
2026-01-10 07:00:00,22.1,81.0,41.1,68.5,13.7,7.7,0.55,115
2026-01-10 08:00:00,23.4,82.0,9.6,20.2,9.4,6.9,0.38,38
2026-01-10 09:00:00,25.7,74.0,10.3,24.2,9.0,4.9,0.49,44
2026-01-10 10:00:00,26.2,71.0,92.7,163.6,20.2,5.8,0.66,169
2026-01-10 11:00:00,27.0,71.0,20.1,29.7,15.3,7.3,0.55,68
2026-01-10 12:00:00,34.5,58.0,20.7,44.2,15.8,4.6,0.67,68
2026-01-10 13:00:00,30.9,65.0,19.6,88.6,13.8,5.7,0.84,65
2026-01-10 14:00:00,33.8,55.0,95.6,226.6,15.8,5.2,0.73,171
2026-01-10 15:00:00,31.9,57.0,27.8,73.5,12.8,5.6,0.37,83
2026-01-10 16:00:00,31.7,65.0,11.2,20.5,11.2,5.2,0.35,45
2026-01-10 17:00:00,33.2,56.0,38.4,113.1,8.5,6.5,0.51,106
2026-01-10 18:00:00,28.7,71.0,70.1,121.9,,4.5,0.73,155
2026-01-10 19:00:00,29.9,66.0,21.4,95.0,23.4,3.6,0.91,71
2026-01-10 20:00:00,26.5,63.0,115.9,186.6,18.6,5.6,0.67,180
2026-01-10 21:00:00,24.3,71.0,22.6,43.5,14.2,5.4,0.81,73
2026-01-10 22:00:00,25.6,66.0,24.7,92.4,10.6,4.6,0.26,78
2026-01-10 23:00:00,18.0,79.0,13.1,23.0,14.8,6.5,0.59,53
2026-01-11 00:00:00,17.6,80.0,16.4,29.5,14.6,9.1,0.4,58
2026-01-11 01:00:00,19.3,90.0,15.3,70.2,14.7,6.1,0.62,57
2026-01-11 02:00:00,17.5,85.0,39.6,127.3,13.7,8.7,0.62,112
2026-01-11 03:00:00,17.7,88.0,69.5,125.3,12.3,6.5,0.57,159
2026-01-11 04:00:00,18.8,90.0,64.7,113.9,13.3,6.9,0.65,155
2026-01-11 05:00:00,19.6,84.0,66.0,132.1,13.4,6.9,0.59,156
2026-01-11 06:00:00,20.9,76.0,40.8,106.7,12.8,6.5,0.46,114
2026-01-11 07:00:00,23.1,72.0,43.9,105.1,12.7,7.7,0.39,122
2026-01-11 08:00:00,22.2,69.0,28.9,47.2,8.1,4.5,0.47,89
2026-01-11 09:00:00,24.9,70.0,10.0,77.0,12.0,6.6,0.36,59
2026-01-11 10:00:00,27.3,70.0,18.1,87.1,13.7,3.9,0.69,70
2026-01-11 11:00:00,29.0,63.0,23.3,42.7,16.8,3.8,0.61,71
2026-01-11 12:00:00,31.8,62.0,58.3,95.1,17.4,6.7,0.78,154
2026-01-11 13:00:00,34.3,50.0,20.9,68.2,18.1,5.5,0.71,66
2026-01-11 14:00:00,35.2,63.0,,35.7,16.5,5.1,0.72,64
2026-01-11 15:00:00,34.5,53.0,25.8,96.1,8.9,3.6,0.53,82
2026-01-11 16:00:00,31.7,65.0,26.8,38.4,10.9,4.5,0.32,85
2026-01-11 17:00:00,32.4,69.0,12.4,83.1,10.8,5.7,0.4,66
2026-01-11 18:00:00,32.3,55.0,69.6,102.5,,5.4,0.84,154
2026-01-11 19:00:00,30.3,68.0,68.8,148.4,16.7,5.9,0.73,161
2026-01-11 20:00:00,31.0,59.0,111.7,156.7,15.9,4.5,0.78,181
2026-01-11 21:00:00,25.9,72.0,21.1,65.2,18.8,4.9,0.84,70
2026-01-11 22:00:00,24.7,77.0,8.8,21.0,7.6,3.1,0.43,38
2026-01-11 23:00:00,21.2,74.0,69.7,159.3,13.6,5.4,0.52,156
2026-01-12 00:00:00,20.5,94.0,13.7,74.9,13.7,7.2,0.61,58
2026-01-12 01:00:00,19.5,75.0,37.1,54.4,14.0,8.5,0.38,500
2026-01-12 02:00:00,17.1,78.0,13.1,50.6,8.9,7.5,0.43,51
2026-01-12 03:00:00,16.9,85.0,36.9,65.3,15.7,8.0,0.41,105
2026-01-12 04:00:00,14.2,88.0,58.1,95.5,16.4,7.3,0.42,152
2026-01-12 05:00:00,17.8,80.0,55.2,89.7,11.4,7.5,0.69,146
2026-01-12 06:00:00,22.5,81.0,15.8,76.9,12.3,5.5,0.47,61
2026-01-12 07:00:00,24.1,75.0,56.5,83.1,14.5,7.1,0.48,152
2026-01-12 08:00:00,25.1,61.0,154.8,224.4,23.9,4.9,1.11,202
2026-01-12 09:00:00,24.9,66.0,26.5,49.7,26.8,6.5,1.05,78
2026-01-12 10:00:00,27.7,68.0,155.0,260.8,28.0,6.6,1.03,206
2026-01-12 11:00:00,30.9,57.0,47.8,112.5,13.7,4.7,0.61,131
2026-01-12 12:00:00,31.9,63.0,49.3,108.9,15.2,5.1,0.49,133
2026-01-12 13:00:00,34.3,55.0,14.5,28.1,14.6,6.1,0.51,59
2026-01-12 14:00:00,34.5,63.0,49.7,95.7,12.4,3.8,0.67,134
2026-01-12 15:00:00,33.1,55.0,49.1,86.6,15.7,5.8,0.53,136
2026-01-12 16:00:00,34.1,56.0,15.2,26.6,14.5,4.9,0.62,56
2026-01-12 17:00:00,33.0,54.0,187.1,317.1,29.7,5.5,1.2,233
2026-01-12 18:00:00,32.8,63.0,184.3,228.6,28.0,6.4,1.11,231
2026-01-12 19:00:00,30.9,57.0,34.7,99.8,29.8,6.3,1.32,101
2026-01-12 20:00:00,28.4,72.0,117.1,167.5,28.0,5.9,1.17,182
2026-01-12 21:00:00,26.8,62.0,34.7,120.0,10.3,6.1,0.31,99
2026-01-12 22:00:00,26.9,67.0,23.6,41.3,8.7,6.3,0.45,72
2026-01-12 23:00:00,23.3,77.0,34.5,62.1,16.0,7.1,0.45,98
2026-01-13 00:00:00,22.7,80.0,55.5,83.0,18.1,5.9,0.52,151
2026-01-13 01:00:00,20.2,71.0,15.4,25.1,12.4,6.8,0.39,59
2026-01-13 02:00:00,19.2,77.0,13.4,35.6,12.1,7.4,0.44,54
2026-01-13 03:00:00,18.5,78.0,12.6,25.9,11.0,7.3,0.46,51
2026-01-13 04:00:00,18.2,85.0,11.9,24.8,14.1,7.2,0.43,52
2026-01-13 05:00:00,17.4,82.0,13.5,71.3,11.9,6.8,0.53,55
2026-01-13 06:00:00,19.8,81.0,34.3,81.0,12.0,6.8,0.48,94
2026-01-13 07:00:00,21.4,71.0,33.3,83.9,13.0,8.0,0.51,92
2026-01-13 08:00:00,23.5,78.0,32.9,62.3,24.9,4.8,1.08,94
2026-01-13 09:00:00,27.6,65.0,92.0,126.2,28.8,6.8,1.18,169
2026-01-13 10:00:00,28.5,59.0,27.1,66.0,25.8,4.3,0.94,83
2026-01-13 11:00:00,29.4,67.0,76.2,128.3,17.0,4.7,0.53,161
2026-01-13 12:00:00,33.5,60.0,48.7,71.9,12.6,4.8,0.63,134
2026-01-13 13:00:00,33.5,66.0,17.4,37.1,14.5,4.3,0.51,60
2026-01-13 14:00:00,34.2,57.0,20.0,35.4,14.2,7.1,0.47,70
2026-01-13 15:00:00,33.5,56.0,46.1,114.0,15.6,9.1,0.42,130
2026-01-13 16:00:00,33.4,61.0,13.9,25.9,14.0,5.4,0.51,53
2026-01-13 17:00:00,32.2,67.0,32.5,85.4,27.5,6.0,1.21,97
2026-01-13 18:00:00,31.5,66.0,37.1,59.6,29.3,5.7,1.18,106
2026-01-13 19:00:00,27.9,62.0,187.1,385.3,27.2,6.2,1.23,247
2026-01-13 20:00:00,27.2,68.0,32.0,107.6,26.5,4.7,1.07,90
2026-01-13 21:00:00,26.5,69.0,23.4,42.4,11.4,6.0,0.4,78
2026-01-13 22:00:00,22.6,84.0,8.8,51.3,10.2,4.7,0.32,45
2026-01-13 23:00:00,19.3,82.0,17.3,37.2,9.3,9.6,0.55,62
2026-01-14 00:00:00,22.3,72.0,41.1,116.1,13.6,8.1,0.52,115
2026-01-14 01:00:00,17.8,78.0,56.8,77.4,15.0,8.2,0.49,151
2026-01-14 02:00:00,16.9,85.0,10.6,78.6,13.2,7.5,0.52,62
2026-01-14 03:00:00,17.9,83.0,12.4,26.6,13.0,6.1,0.57,51
2026-01-14 04:00:00,18.2,89.0,15.5,30.1,11.0,7.5,0.41,60
2026-01-14 05:00:00,19.1,78.0,55.2,129.1,8.3,7.2,0.5,149
2026-01-14 06:00:00,19.7,80.0,11.2,56.6,11.4,9.3,0.52,51
2026-01-14 07:00:00,21.0,79.0,55.6,106.3,13.4,5.6,0.57,150
2026-01-14 08:00:00,24.7,78.0,27.7,50.3,24.4,6.4,1.1,83
2026-01-14 09:00:00,25.1,70.0,153.9,226.3,22.0,5.5,1.14,204
2026-01-14 10:00:00,28.5,70.0,98.1,171.7,23.9,6.8,0.96,172
2026-01-14 11:00:00,,65.0,79.4,125.3,14.2,5.5,0.58,165
